ID,Age,Gender,Marital,Ethnicity,Education,Occupation,WorkSector,ProfPosition,OrgTenure,WorkingHours,Income,BWAS_1,BWAS_2,BWAS_3,BWAS_4,BWAS_5,BWAS_6,BWAS_7,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,BBI_1,BBI_2,BBI_3,BBI_4,BBI_5,BBI_6,BBI_7,BBI_8,BBI_9
1,40,2,5,6,6,2,2,2,15,50,7,3,5,4,3,4,5,5,2,1,1,4,1,2,4,5,4,4,2,2,2,1,2,1,1,2,2,6,6,6,5,4,5,2,6,5
2,39,2,1,6,6,13,2,1,0,37,11,2,4,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,3,4,3,4,2,4,1,6,4,4,2,4,4
3,45,1,5,6,6,13,2,2,3,35,8,1,1,3,1,1,2,2,4,4,4,4,4,3,4,4,3,4,3,2,3,3,3,2,3,4,3,4,6,2,1,1,4,1,5,3
4,38,1,5,3,5,2,2,2,7,45,11,2,4,4,4,2,5,5,4,4,4,4,4,4,4,4,1,3,3,2,4,3,3,2,3,5,4,5,5,6,4,6,5,4,5,2
5,48,2,5,7,5,2,2,2,2,50,11,3,4,3,2,2,3,3,2,4,3,4,4,3,4,4,2,5,3,3,3,2,3,4,3,4,4,5,3,4,2,4,3,3,4,3
6,52,2,5,3,3,23,2,4,17,44,3,1,2,2,1,1,2,1,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,3,3,4,2,2,2,2,2,3,2,2,4
7,47,1,1,3,6,23,2,2,1,60,11,4,4,2,1,1,4,3,4,4,5,4,4,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,2,4,2,2,2,4,2,2
8,36,1,5,6,4,23,2,4,1,40,11,1,3,1,1,1,1,3,5,4,4,5,5,4,5,4,4,4,4,4,3,2,3,2,3,3,2,3,5,2,2,5,5,2,4,5
9,32,2,5,3,7,8,1,3,5,35,4,3,4,2,3,2,3,5,4,4,4,3,3,4,4,4,4,4,2,3,4,5,4,4,3,5,3,4,4,4,5,4,4,3,3,4
10,30,2,5,8,5,20,2,2,1,38,11,1,4,3,2,1,2,2,4,5,5,4,4,4,3,5,2,3,3,4,4,3,2,3,4,3,4,1,1,2,3,2,4,2,3,1
11,31,2,5,6,5,23,2,4,4,50,11,1,2,3,2,3,2,1,4,4,2,4,2,3,3,5,5,3,2,2,2,4,4,1,2,3,2,1,4,3,4,2,4,1,4,3
12,26,2,5,6,7,8,1,4,4,35,4,3,4,4,2,3,3,2,4,4,2,4,5,4,5,5,2,4,2,2,4,2,2,2,3,5,4,6,5,2,5,5,4,2,6,3
13,40,1,1,6,6,2,2,3,12,40,11,2,4,1,3,3,3,4,5,4,5,4,3,4,4,5,3,4,3,3,3,3,3,3,3,3,3,4,5,4,5,3,3,3,5,5
14,59,1,1,6,5,1,2,1,3,70,11,3,1,1,1,2,4,4,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,1,2,1,1,1,3,1,1
15,26,2,5,6,6,23,1,3,0,35,3,2,2,2,1,2,3,1,4,2,5,3,4,4,4,4,3,4,4,3,4,3,4,4,4,3,5,2,1,2,2,2,2,1,2,2
16,41,2,5,6,6,8,2,3,3,15,3,1,2,1,1,1,1,1,4,5,5,4,5,5,5,5,5,5,4,5,5,3,5,3,5,4,5,1,1,1,1,1,2,1,1,1
17,39,2,3,6,7,8,1,4,7,40,5,2,2,1,1,1,2,1,4,3,5,4,5,4,5,4,4,4,3,3,3,2,4,2,3,3,4,1,5,2,5,3,3,1,3,2
18,22,2,5,3,5,7,2,4,0,35,1,2,3,2,1,1,2,2,3,4,3,4,2,2,3,4,3,4,3,2,2,2,2,1,3,4,4,2,3,3,5,2,2,2,2,5
